,employer,estimated_salary,link,location,position_title
97,Dean Group,"Estimated: $87,000 - $110,000 a year",/jobsearch/viewjob/pgjTeCforHeis9sa7JpF91UZIYya3AY1wjlZdIQRQx19yt2EnvQM6w?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer
98,Songistry,"Estimated: $41,000 - $55,000 a year",/jobsearch/viewjob/3QSASpjWPifODEYTiNAB6J8ywx1sABhAjKp1h1Cll43NiZWuWf9Enw?ak=data+science&l=,"— Edmonton, AB",Social Media Marketing Expert (Global Music AI Platform)
99,Facebook,"Estimated: $41,000 - $55,000 a year",/jobsearch/viewjob/wZCYongrTiPnLS2raV_9S9RgRvWR3Q3JsA413ThzowZkFboGi-fjmw?ak=data+science&l=,,"Visiting Researcher, Artificial Intelligence"
100,The Globe and Mail,"Estimated: $82,000 - $120,000 a year",/jobsearch/viewjob/S6aiNrbjJNkx2J7qMOUAaqhDEkqD3RlCVQRt16VAyQNb4Ndn5EaCYw?ak=data+science&l=,"— Toronto, ON",SENIOR DATA SCIENTIST
101,Perennial Inc.,"$69,000 - $85,000 a year",/jobsearch/viewjob/XpqitlpA1v9OAQFWAt3N_rFOeIkHerdBcTM7-NiaI41xQWIyeOr33w?ak=data+science&l=,"— Bolton, ON",Data Scientist
102,Praemo,"Estimated: $80,000 - $110,000 a year",/jobsearch/viewjob/OyJWyksoxo9-YnSlA47Bnkaxtyblq4lwgBSOp9vAkoT-6VSQRB9vig?ak=data+science&l=,"— Kitchener, ON",Data Scientist
103,The Globe and Mail,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/g4UIk0Mo_Qx-t92SUv8SCKk0mwLePZWkqizHjkgIWIMoDhS9oblzBA?ak=data+science&l=,"— Toronto, ON",SCRUM MASTER (DIGITAL & DATA SCIENCE)
104,Deloitte,"Estimated: $100,000 - $140,000 a year",/jobsearch/viewjob/q-LSSEHcfep0I72kYo1jAtxDYYX_3iR3FXIHbMEjGnnKKogglDQ9qg?ak=data+science&l=,"— Toronto, ON","SAP - Data & AI Specialist, Omnia AI"
105,RBC,"Estimated: $100,000 - $140,000 a year",/jobsearch/viewjob/oEjGRC9J-y1xO4bQAnl_PIwFIc8Ng4Ca5bezrvJMhUaOkzr2bKLMuQ?ak=data+science&l=,"— Toronto, ON","Director, Data & Analytics COE"
106,MindBeacon,"Estimated: $94,000 - $120,000 a year",/jobsearch/viewjob/e6eouUCua2p6grsGu_jlgN2D5eYqG34dC5DEYewaFZPScTCWP9GETg?ak=data+science&l=,"— Toronto, ON",Data Analyst - Senior level
107,Geotab,"Estimated: $53,000 - $74,000 a year",/jobsearch/viewjob/l9RGCNE-N7_ctN3niG8lvXpnaffSOd4xpSMDZPKLFcsNX0V6JudvgA?ak=data+science&l=,"— Oakville, ON",Data Scientist
108,Scotiabank,"Estimated: $53,000 - $74,000 a year",/jobsearch/viewjob/xOaSUg7C4_Dl8any-yckovmjp4xfdh3JKG6ZkevWBhF7Qufro6UtBQ?ak=data+science&l=,,VELOCITY- Data Analytics Engineer
109,QUESTRADE INC,"Estimated: $67,000 - $92,000 a year",/jobsearch/viewjob/GSnyJczgsbhXl7dayMavMw30VeEOwvKHMRcT0nyajjGnFvECfude7Q?ak=data+science&l=,"— Toronto, ON","Data Scientist, Advanced Analytics"
110,IQVIA,"Estimated: $50,000 - $64,000 a year",/jobsearch/viewjob/0IAe6G4inJ5jacX5cMUFD9P8lxK-07hOYOHbASqJVTsMHVn2aiGVxg?ak=data+science&l=,— Ontario,Clinical Trials Data Analyst
111,"LotusFlare, Inc.","Estimated: $72,000 - $94,000 a year",/jobsearch/viewjob/NDyaG4eeq2Ku55MeizXX19w8ZDXtSexI9OBd6qg42_V44DT7RQ3E3Q?ak=data+science&l=,"— Toronto, ON",Data Scientist / Engineer
112,Critical Mass,"Estimated: $59,000 - $75,000 a year",/jobsearch/viewjob/p0VdcluyTwSPnmws7992WwW3useAkXIqEPPfI6O90zAvaqjIzt1AHQ?ak=data+science&l=,"— Toronto, ON",Marketing Science Analyst - Data Engineering
113,SkyHive Technologies Inc.,"Estimated: $75,000 - $100,000 a year",/jobsearch/viewjob/DCO5PIWyW1ByrUc0_AETpDNigtJ7SnVJ1aAVaYCwyVUx6BWkk8flSg?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
114,Canadian National Railway,"Estimated: $82,000 - $100,000 a year",/jobsearch/viewjob/7FokQK0zWv0IsvSNWlPlUwQRN9hS78Ms181xa7L0jHF-1o0Fo-XeCA?ak=data+science&l=,"— Montréal, QC",Data Scientist
115,Facebook,"Estimated: $82,000 - $100,000 a year",/jobsearch/viewjob/4t3-_13QR2wc6Et_5vGaSAxy5Zq8wCO2qVmc3wNPGwiv478IwchGSg?ak=data+science&l=,,"Research Scientist, AI"
116,Facebook,"Estimated: $83,000 - $100,000 a year",/jobsearch/viewjob/g9aKhKKgcantP1mwIIYaZqs2O5MYjWz7r7onzA682mYrc5uflj6Q9g?ak=data+science&l=,"— Montréal, QC","Software Engineer, AI"
117,Songistry,"Estimated: $56,000 - $75,000 a year",/jobsearch/viewjob/rqgu6NqiG_ZcUCki82e0okIYG1KoCj4vTL5QwpXeFkbIPJdhWHn7iQ?ak=data+science&l=,"— Edmonton, AB",Customer Experience Expert (Global Music A.I Platform)
118,Benevity,"Estimated: $120,000 - $160,000 a year",/jobsearch/viewjob/F0BAKY7L8wQ4b-FDCxzaLDu7la8t7ZqP2r7TzaHVE-MmP8s2ZPrnAw?ak=data+science&l=,"— Toronto, ON","VP, Analytics & Insights"
119,SkipTheDishes,"Estimated: $75,000 - $93,000 a year",/jobsearch/viewjob/QX0812M5rT9yoTeNwShvRi6Qzg664DHfUS6NqiEZ6RqJpr5GqpFbWg?ak=data+science&l=,"— Winnipeg, MB",Data Scientist
120,Intact,"Estimated: $75,000 - $93,000 a year",/jobsearch/viewjob/LYMse7xRy82dHx8iygm1ugd606SqNU6ehifXvDH6qQoYFApVt_Iqcw?ak=data+science&l=,,"Senior Data Scientist (Toronto), Intact Lab"
121,Hach,"Estimated: $66,000 - $93,000 a year",/jobsearch/viewjob/BgPaUqmbL5aWl1UH0o_nkjxJLZdmCfBJKbz1XU_4ublMQY1aImQlZg?ak=data+science&l=,"— Vancouver, BC",Data Science Co-op
122,Exiger,"Estimated: $69,000 - $90,000 a year",/jobsearch/viewjob/dtaiqC9ge0V4aW7aC9NIn2gRF-eT9CpPr4hmBpCpIc9eQiwFr2kWNg?ak=data+science&l=,"— Toronto, ON",Tech - Data Analyst
123,CGI,"Estimated: $76,000 - $95,000 a year",/jobsearch/viewjob/nUv-Iprira5_Vh73wFK_YLKPf915u5TgE54iVjxPiK-fp0GiqVd6hA?ak=data+science&l=,"— Sherbrooke, QC",Data Scientist
124,TC Transcontinental,"Estimated: $70,000 - $89,000 a year",/jobsearch/viewjob/MVbsy9y_APjNS3lFJWRWzWE3Yvnh93i_B6EZGXHbHezgi0iHTHOqYg?ak=data+science&l=,"— Brampton, ON",Data Scientist
125,Cerebri AI,"Estimated: $59,000 - $84,000 a year",/jobsearch/viewjob/UmPBtqSbd1NrXRDhZFMPEtYVUaJ7mZfOc2L6hBPvVX3chGko226_Uw?ak=data+science&l=,"— Toronto, ON",Data Scientist
126,Parexel,"Estimated: $70,000 - $90,000 a year",/jobsearch/viewjob/ucQcop11JVQlDgaDrVXvq9JkrnlfL_rlTkNkYsfs_rAMBRC43bm-3w?ak=data+science&l=,— Canada,Senior/Principal Statistical Programmer
127,Prodigy Game,"Estimated: $53,000 - $66,000 a year",/jobsearch/viewjob/x25HEPcN5AflcLWRjGj1yDd7crhRLBuzjPMSG8PJzWZgaBt-4KWglA?ak=data+science&l=,"— Oakville, ON","Data Scientist, Game"
128,WilsonHCG,"Estimated: $75,000 - $97,000 a year",/jobsearch/viewjob/OzN6ZGmSGMumS8wbLbx0nTucp9OeTZ97PsIcwwvkkoBVNBobagIbBQ?ak=data+science&l=,"— Vancouver, BC",Sr. Data Analyst
129,BrainStation,"Estimated: $62,000 - $85,000 a year",/jobsearch/viewjob/8lhRYYvdjGEh0A9L-Qhg2zc3UHLtU7MekrT0Rjsss6JDR-PWQlUbGg?ak=data+science&l=,"— Toronto, ON","Associate Educator, Data Scientist"
130,"AMZN CAN Fulfillment Svcs, ULC","Estimated: $62,000 - $85,000 a year",/jobsearch/viewjob/ikwXYBjTMmY7S_tK4o1Wgel06TtAiX-o6Y18aUwfMeB8cga6HK15Hw?ak=data+science&l=,,Data Scientist
131,Prodigy Game,"Estimated: $59,000 - $84,000 a year",/jobsearch/viewjob/n_naEqgV-dBpRZM4Jk4t84g3id7NQn6W1jEKxRjFlmyVJuVx1Vksiw?ak=data+science&l=,"— Oakville, ON","Data Engineer, Game"
132,Wellington-Altus Private Wealth,"Estimated: $66,000 - $89,000 a year",/jobsearch/viewjob/wW2wt9Q6p0pFH7iqtR8QihzRgaJtQqL4QnX4LqE5xGuxYSYZIMbDQg?ak=data+science&l=,"— Winnipeg, MB",Data Analyst
133,Paige,"Estimated: $52,000 - $68,000 a year",/jobsearch/viewjob/ULvtzYMZIuB93RgEhmSoGjt3o2GB3lTx6tbRqkuIbgaCV80ElVl_mg?ak=data+science&l=,— Ontario,AI Scientist
134,Genworth Canada,"Estimated: $75,000 - $110,000 a year",/jobsearch/viewjob/0UdxW2NN1ODGciQ0KchqVFoHUmuLbjFjO3A04WcNSV7Ek3_wKejeMQ?ak=data+science&l=,"— Oakville, ON",Data Scientist
135,Crescendo Technology,"Estimated: $94,000 - $120,000 a year",/jobsearch/viewjob/yRGzAt4STxJt5-M3uExTgNl0M_qnJOMNG3SFL_UBzW0j92lS91MFXA?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer/Data Scientist
136,Critical Mass,"Estimated: $110,000 - $150,000 a year",/jobsearch/viewjob/4FhqI6KckmYeqFmlFxoZzkGBao-yW-01YiM5RN8nBeEkcedOcDFdDA?ak=data+science&l=,"— Toronto, ON","Marketing Science Director, Data Innovation"
137,Loopio,"Estimated: $72,000 - $96,000 a year",/jobsearch/viewjob/w8zRupr6O7VuHk1-ZdLLzBoyAdHkLUUwQeQ4oULaPnXfnqIBompbyg?ak=data+science&l=,"— Toronto, ON",Data Scientist
138,TD Bank,"Estimated: $72,000 - $96,000 a year",/jobsearch/viewjob/JbDMXe09DVwgulK5eSxMRE1PqAix2aOwdtF-1AfIKczuMFnQFEv_XQ?ak=data+science&l=,,"Senior Analyst, Campaign Analytics & Insights"
139,Oracle,"Estimated: $81,000 - $110,000 a year",/jobsearch/viewjob/0etwNeLw5zLBf3uNir2taWh4u1GwcMnASLV2R_Ft8eG-mZX9advQvQ?ak=data+science&l=,"— Kitchener, ON",Data Scientist
140,A4 Systems Corporation,"$78,000 - $120,000 a year",/jobsearch/viewjob/hGc1KfA0hIdPRWdRz-s0rhzkZeACZZoVcmOD2Li6Lg3f9LDyMSrewQ?ak=data+science&l=,"— Calgary, AB",Data Scientist
141,Scarsin,"Estimated: $61,000 - $85,000 a year",/jobsearch/viewjob/34jHLQVvwThWK97sQA4pIbscFIZgXbZL6ImJEJ5WZ8ssb8Mqxj3CWQ?ak=data+science&l=,"— Markham, ON",Data Scientist/Time Series
142,Canadian National Railway,"Estimated: $71,000 - $99,000 a year",/jobsearch/viewjob/WFEo6XyU-BWVVOYqOm2a_UrQn5NtYxwbJYR3Dj4xOlmywl52vkcbOA?ak=data+science&l=,"— Montréal, QC","Specialist System Design, Data Scientist Machine Learning and Visual Analytics"
143,International Financial Group,"Estimated: $71,000 - $99,000 a year",/jobsearch/viewjob/tnPMn7wl2iENq2ClhsmB36mUIqpaOyBnbdInaO-SZg2EFDvnb3siOQ?ak=data+science&l=,,Conversational AI Software Developer
144,International Financial Group,"Estimated: $71,000 - $99,000 a year",/jobsearch/viewjob/gzo8yCL7fNqIMZ_Sn5Mh82syInpB2NNj2PFxrEZjnXIc2blMkpFebg?ak=data+science&l=,,Data Analyst
145,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
146,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
147,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
148,RBC,"Estimated: $130,000 - $170,000 a year",/jobsearch/viewjob/RqCGSg0sAA5Ayk2Y2C7pWBbq7V6uFzftISIMvr2S2YlgAXni_5hQyg?ak=data+science&l=,"— Toronto, ON",Director - AI Engineering
149,Facebook,"Estimated: $56,000 - $73,000 a year",/jobsearch/viewjob/QB6yfmEop-akTsYCoPrrbyDbVwySn5VONyeeYu6vkNNsk6iL6Dh9JQ?ak=data+science&l=,— Remote,"Research Intern, Artificial Intelligence"
150,Intact,"Estimated: $56,000 - $73,000 a year",/jobsearch/viewjob/2mWct28rs8CbfnaZOED1wxwbMcFBOC5HJtoZrjiiKIe3HKZgm9Aw5g?ak=data+science&l=,,"Senior Data Scientist (Quebec City), Intact Lab"
151,7D Surgical,"Estimated: $59,000 - $83,000 a year",/jobsearch/viewjob/hDSg0q6Gnqzzdti1y03N8MilMsqRYdoChip9HRILGKZA2I8DSiunYA?ak=data+science&l=,"— Toronto, ON",Data Analyst Intern
152,Just Energy,"Estimated: $77,000 - $110,000 a year",/jobsearch/viewjob/0rdB2xCv2sm1tcpsO5i17F_SSwi5TiielCCdzJWd05fL-Phyvu7YqA?ak=data+science&l=,"— Toronto, ON",Data Scientist
153,McAfee,"Estimated: $63,000 - $85,000 a year",/jobsearch/viewjob/p9nirjD9RSBLvbPt4PGCh-1wUZDbW0pQLAgHmdKnpahDVIkIf-kqKQ?ak=data+science&l=,"— Waterloo, ON",Data Scientist
154,Circle,"Estimated: $67,000 - $93,000 a year",/jobsearch/viewjob/m1ANeHbif-Qh9URNWs4QhC-GAcgPFHGwXGiz2FBocmwUrOvxhTY84A?ak=data+science&l=,— Ontario,Senior Data Analyst - Risk
155,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
156,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
157,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
158,Advanced Analytics and Research Lab (AAARL),"Estimated: $58,000 - $81,000 a year",/jobsearch/viewjob/6lbiF-rE5b3STxijqp1fgV8qGnGkSAFpUbzdhVkcY6fW1d9I67ar6Q?ak=data+science&l=,"— Toronto, ON",Analytics Consultant
159,Geotab,"Estimated: $64,000 - $81,000 a year",/jobsearch/viewjob/8AvTpH3csx7NEx_xBQJPP-NrwE1BnQvW-TzJrNjG9PIPBbNp6vxfIw?ak=data+science&l=,"— Oakville, ON","Data Scientist, Video Analytics"
160,Temetrix,"Estimated: $58,000 - $76,000 a year",/jobsearch/viewjob/EkvJVj4SaooHgsnu9uy7gId3IhOTjwt4f9g8ee3LYChFP3HKOsYrYA?ak=data+science&l=,"— Ottawa, ON",DATA SCIENTIST
161,Lixar I.T,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/jtybyjKARVF0Wo8g6Hasz4uHlPzii33a8T8b66BLVCISMyb2W3dM1Q?ak=data+science&l=,"— Toronto, ON",Hybrid Data Scientist/Data Engineer
162,Vanguard,"Estimated: $84,000 - $110,000 a year",/jobsearch/viewjob/naY9IdVdez40zBJ3tzQ00-Nx56VUhMUIopr-pFkqdGGhbGVmvoJy2Q?ak=data+science&l=,"— Toronto, ON",Principal Data Scientist
163,MarkiTech,"Estimated: $68,000 - $94,000 a year",/jobsearch/viewjob/38D8EVFtJLAlCB2Z-kdquqvO3eOZaGZ5jFY3BEuYX0wtJnmQ_qND2Q?ak=data+science&l=,"— Toronto, ON",Data Scientist / Engineer
164,Microsoft,"Estimated: $77,000 - $110,000 a year",/jobsearch/viewjob/PHoVC-Sao-sSWc2j462UDd_S3dIZl5auaWxEruPVZImZJrmOcgeqNQ?ak=data+science&l=,"— Mississauga, ON",Specialist- Azure Data & AI
165,SomaDetect,"Estimated: $70,000 - $92,000 a year",/jobsearch/viewjob/FF4H5PrpD6Lga-fSvnw395VHf4X5vvWpLs_mOhxH0sRK_fmSD3BUOw?ak=data+science&l=,"— Thorold, ON",Data Science Team Manager
166,Kinaxis,"Estimated: $83,000 - $110,000 a year",/jobsearch/viewjob/S386jpI97iwBRo8doTq_IMm_Fei9bgsq5QpQG2SqPp44dpBHXGelpw?ak=data+science&l=,"— Toronto, ON",Data Scientist
167,Accedian Networks,"Estimated: $66,000 - $89,000 a year",/jobsearch/viewjob/V83AcSNe_EToWzgk9l_dII7sUp5fz4KW4tUm-pd4ARTL_R4Aa0ml8g?ak=data+science&l=,"— Ottawa, ON",Data Scientist
168,Ingrooves,"Estimated: $73,000 - $100,000 a year",/jobsearch/viewjob/Yg8PzKgQrF6evhUweCXrSVkjTBPG8o3V-tahwGPSg-9rkDa8qv94gg?ak=data+science&l=,"— Victoria, BC",Data Scientist
169,Myant,"Estimated: $83,000 - $110,000 a year",/jobsearch/viewjob/ft09aiCzQvc54C0_gESEnH8bjKBkPEEP9A-EOOKR6dpympvoCDiMHw?ak=data+science&l=,"— Toronto, ON",Big Data and AI Analyst
170,REPLICANT,"Estimated: $60,000 - $82,000 a year",/jobsearch/viewjob/lY6Sj4lnTDEKpUp515Ra2svz6rQo7ZUiu_UNgoJIGMOiGEe0vyodYg?ak=data+science&l=,— Remote,Backend Data Engineer (Machine Learning)
171,David Aplin Group,"Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/bc2YEl3Cbooq0cTxJpRe6lgGJz7vPKPt8NZ0opMl_ZsS8oV1rZN8_Q?ak=data+science&l=,"— Winnipeg, MB",Machine Learning Specialist
172,Canadian National Railway,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/plIQotE3EJm_O4Xd_Gp0uWGPrDHmgC0n4dGSoV1-noGCjq_8dZa8aQ?ak=data+science&l=,"— Montréal, QC","Specialist Software Development, Machine Learning and Visual Analytics"
173,Client Of Emergitel,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/I4gBruu5mXbRbfQZtTvh6-7nL9hdG0mkLNKB3rln60wRXXSNPzwmig?ak=data+science&l=,"— Montréal, QC",Data Analyst (SQL/Python/AI)
174,BTA Design Services,"Estimated: $69,000 - $89,000 a year",/jobsearch/viewjob/Jnik2tK2Z2KONNrUVYO4M1ZCHXrGpZOvcHZ9We2KjPzW9l-jQsM2jw?ak=data+science&l=,"— Ottawa, ON","Embedded Software Designer: Machine Learning, Computer Vision, ADAS"
175,Citi,"Estimated: $88,000 - $110,000 a year",/jobsearch/viewjob/svVxaEsvI_ZJzhSjA15-MCLOvpi8i-CK4-mosaiq3STARiXJO2Q3Bw?ak=data+science&l=,"— Mississauga, ON",Data Science Senior Manager
176,Zynga,"Estimated: $53,000 - $74,000 a year",/jobsearch/viewjob/dKXaRZMvOEPJKiG6dbOy8SjrZQAFJqdK32Ss82UftHv3deG39_JNYg?ak=data+science&l=,"— Toronto, ON",Data Scientist II
177,Labatt Breweries of Canada,"Estimated: $97,000 - $140,000 a year",/jobsearch/viewjob/GOXVr63EddHmgOpfCNt2JSeO4hQV6OWlofB4L36hfoNBTJKV3hoe5w?ak=data+science&l=,"— Toronto, ON",Sr. Data Scientist
178,Loblaw Companies Limited,"Estimated: $95,000 - $130,000 a year",/jobsearch/viewjob/vXtbVNJcz99wd1wlPrFcTlW38JaiXhjpGQDR87AGRsuNc7dlMsQaLw?ak=data+science&l=,"— Brampton, ON",Senior Data Scientist
179,BBA,"Estimated: $67,000 - $91,000 a year",/jobsearch/viewjob/n1huV3ZxpfooBR74Z8orBR8mE91b0ucPVpLGrIOYCHMuRdN59mxtyA?ak=data+science&l=,"— Mont-Saint-Hilaire, QC",Junior Data Analyst – Industrial IT
180,Dialpad,"Estimated: $52,000 - $73,000 a year",/jobsearch/viewjob/s2XYwyExJjRnitsl07mhAGlewK3OarKsX_yQFSMbLbR0lq1BHkbcvA?ak=data+science&l=,"— Kitchener, ON",Data Analyst
181,SurveyMonkey,"Estimated: $65,000 - $84,000 a year",/jobsearch/viewjob/yspOb8-Ezhqmh2QwfrZLCkrTSVE6lvEThCJezppZlSwAYslf5S7MNQ?ak=data+science&l=,"— Ottawa, ON",Data Scientist II
182,Skycope Technologies Inc,"$80,000 - $120,000 a year",/jobsearch/viewjob/Qvt8X8H03KkA1F9-ndD6F5yeg0t1hrFY-iIZ4wfNniFQWs0uHdZAyA?ak=data+science&l=,"— Vancouver, BC",Machine Learning Engineer
183,The Home Depot,"$80,000 - $120,000 a year",/jobsearch/viewjob/_I-d-dlmsM3M2Y8ILQA9d0sA8QnJ6BoXPF4zfdDh0TmOyA0S0IfRTw?ak=data+science&l=,,"Business Analyst, Visual Strategy and Analytics – VOSM"
184,Compugen Inc,"Estimated: $86,000 - $120,000 a year",/jobsearch/viewjob/YHt-mR0wGQRS6a0pyrT3Ov-S1onNHkaHfo0NU3zzBVlScOnkNVsY6w?ak=data+science&l=,"— Calgary, AB",Advanced Support Specialist
185,Deloitte,"Estimated: $74,000 - $96,000 a year",/jobsearch/viewjob/2nOKl9IEpfVKGVMiWhrzNNsY5ciKxyVc9vV2E-245AJpf7WFF8xhlg?ak=data+science&l=,"— Toronto, ON","Customer Data Architect, Omnia AI"
186,University Health Network,"Estimated: $80,000 - $100,000 a year",/jobsearch/viewjob/19NUW9fmi3wMJqUtBkF9JaeshRPnAzjkg1p9r14r45e8MafeJnV7sg?ak=data+science&l=,"— Toronto, ON","Senior Business Process & Data Analyst, Data & Implementation Science"
187,Adastra Corporation,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/Eu_5le7YW4QGX1jicCZKsv5THy6YeDCuifapcyY0pdGiQ4QhtA52cA?ak=data+science&l=,"— Toronto, ON",Advanced Analytics Consultant
188,MobSquad,"Estimated: $78,000 - $98,000 a year",/jobsearch/viewjob/AOsKp1j028sURXQGhBr8KxWF_bCxaVTH8f6vZVFBXdyMByT5xKU-fw?ak=data+science&l=,"— Calgary, AB",Data Scientist
189,TKEES,"Estimated: $56,000 - $73,000 a year",/jobsearch/viewjob/wbfxp2G6lTLrZ_hyrsPhTnjPBcheKtfXzIVuaPpvqjDq0YBbvaeO-g?ak=data+science&l=,"— Toronto, ON",Sr. Data Analyst
190,Inkbox,"Estimated: $72,000 - $100,000 a year",/jobsearch/viewjob/XjZhu29Gu_57SToy07a2bkhB-ysqlD0Los8pDLQe8L_aS7ijTXGO8A?ak=data+science&l=,"— Toronto, ON",Senior Data Analyst
191,A4 Systems Corporation,"Estimated: $75,000 - $110,000 a year",/jobsearch/viewjob/Hb-Dbmzcf-TJLHMIfo28I_b3RHAyBllZaNcxxdUKLM1FlADzGIM3vA?ak=data+science&l=,"— Calgary, AB",Data Scientist – Machine Learning
192,Yelp,"Estimated: $68,000 - $88,000 a year",/jobsearch/viewjob/-kWtlv3S-K6OQQlUQym5H-MKrnSxK5Yk-B_weokmh4Z3UA1UmgzzCw?ak=data+science&l=,— Remote,Applied Scientist (Remote)
193,Electrical Safety Authority,"Estimated: $100,000 - $130,000 a year",/jobsearch/viewjob/GDebnt0lzuemHSEUDugwldwmmuTS6H7a9c9KDEmCQ7GyOvqayXwnMw?ak=data+science&l=,"— Mississauga, ON",Manager Data Analytics
194,Ecopia Tech,"Estimated: $42,000 - $58,000 a year",/jobsearch/viewjob/_kxTeN0FEtorSIqBfSwj_Wfh1lsgkUyOZ90SUWXBOu_oBmuJw_HFzA?ak=data+science&l=,"— Toronto, ON",Computer Vision Internship (3)
